RNA sequence name                            	# of nts  	Time(s)   	MFE ILP   	MFE ARCHIVE	MFE RNAstr	MFE RNAFold	F1 ILP    	F1 RNAstr 	F1 RNAFold	Fb ILP    	Fb RNAstr 	Fb RNAFold	INF ILP   	INF RNAstr	INF RNAFold
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	608.81    	-14.24    	-5.00     	-11.50    	-13.80    	0.62      	0.33      	0.28      	0.65      	0.33      	0.27      	0.63      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	134.78    	-15.23    	-5.00     	-11.50    	-13.80    	0.90      	0.33      	0.28      	0.92      	0.33      	0.27      	0.90      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	23.74     	-9.35     	-5.00     	-11.50    	-13.80    	0.37      	0.33      	0.28      	0.35      	0.33      	0.27      	0.37      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	12.36     	-15.17    	-5.00     	-11.50    	-13.80    	0.61      	0.33      	0.28      	0.64      	0.33      	0.27      	0.61      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	12.78     	-14.50    	-5.00     	-11.50    	-13.80    	0.85      	0.33      	0.28      	0.90      	0.33      	0.27      	0.85      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	13.04     	-14.24    	-5.00     	-11.50    	-13.80    	0.62      	0.33      	0.28      	0.65      	0.33      	0.27      	0.63      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	15.35     	-14.16    	-5.00     	-11.50    	-13.80    	0.62      	0.33      	0.28      	0.65      	0.33      	0.27      	0.63      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	16.96     	-14.13    	-5.00     	-11.50    	-13.80    	0.94      	0.33      	0.28      	0.97      	0.33      	0.27      	0.94      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	14.35     	-14.13    	-5.00     	-11.50    	-13.80    	0.87      	0.33      	0.28      	0.87      	0.33      	0.27      	0.87      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	16.61     	-14.11    	-5.00     	-11.50    	-13.80    	0.65      	0.33      	0.28      	0.66      	0.33      	0.27      	0.65      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	14.93     	-14.08    	-5.00     	-11.50    	-13.80    	0.62      	0.33      	0.28      	0.65      	0.33      	0.27      	0.63      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	18.33     	-13.95    	-5.00     	-11.50    	-13.80    	0.88      	0.33      	0.28      	0.91      	0.33      	0.27      	0.88      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	17.35     	-13.71    	-5.00     	-11.50    	-13.80    	0.85      	0.33      	0.28      	0.90      	0.33      	0.27      	0.85      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	16.45     	-13.41    	-5.00     	-11.50    	-13.80    	0.65      	0.33      	0.28      	0.66      	0.33      	0.27      	0.65      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	10.07     	-8.53     	-5.00     	-11.50    	-13.80    	0.79      	0.33      	0.28      	0.75      	0.33      	0.27      	0.79      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	1111.14   	-4.73     	-5.00     	-11.50    	-13.80    	0.76      	0.33      	0.28      	0.74      	0.33      	0.27      	0.76      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	11.59     	-15.23    	-5.00     	-11.50    	-13.80    	0.90      	0.33      	0.28      	0.92      	0.33      	0.27      	0.90      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	171.42    	-15.23    	-5.00     	-11.50    	-13.80    	0.90      	0.33      	0.28      	0.92      	0.33      	0.27      	0.90      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	66.78     	-14.11    	-5.00     	-11.50    	-13.80    	0.65      	0.33      	0.28      	0.66      	0.33      	0.27      	0.65      	0.33      	0.28      
tRNA_tdbR00000364-Ascaris_suum-6253-Arg-ACG  	57        	142.77    	-15.23    	-5.00     	-11.50    	-13.80    	0.90      	0.33      	0.28      	0.92      	0.33      	0.27      	0.90      	0.33      	0.28      
